"timesignature","beatdifMedian","beatdifrange","beatdif80perc","beatdifvariance","beatdifstdev","T1Median","T1min","T1max","T180perc","T1mean","T1stdev","T2min","T2max","T280perc","T2mean","T3Median","T3min","T3range","T3mean","T3variance","T3stdev","T4Median","T4range","T480perc","T4kurtosis","T580perc","T5stdev","T6min","T6range","T6variance","T7variance","T7kurtosis","T8Median","T8range","T8stdev","T8kurtosis","T9Median","T9max","T9mean","T9skewness","T9kurtosis","T10variance","T10stdev","T10skewness","T10kurtosis","T11variance","T12Median","T12kurtosis","Topclass1030"
4,-0.429798,-0.667458,-0.456849,-0.279276,-0.42114,0.669996,-0.737807,0.597411,0.5948,0.731517,-0.509491,0.495233,-0.014294,0.153779,0.287883,-0.641022,-0.114557,-0.351131,-0.755217,-1.352608,-1.674117,-1.812442,0.208373,-0.970882,-0.28325,-0.323405,-0.45506,0.040548,1.574615,-0.48431,-0.327261,-0.359462,-0.515093,-0.763106,-0.448329,-0.421423,0.640102,-0.329467,0.690634,0.355498,-0.496378,-0.608903,-0.643719,0.588361,0.344403,-0.539969,1.586332,0.171373,1
4,3.044869,-0.258418,2.945058,-0.247267,-0.173252,1.601455,0.718067,1.261302,1.422366,1.507748,-0.088233,1.128863,0.391867,0.99585,1.360996,0.568327,0.140799,0.346175,0.462513,-0.419614,-0.355891,-0.610072,0.93052,-0.851457,0.43031,-0.519776,0.272911,-0.308724,2.370217,-0.35189,0.170606,-0.320734,1.836137,0.961066,0.140282,1.488313,-0.416568,-0.822638,-0.512132,-1.945498,2.052818,0.454057,0.605181,1.545341,0.614483,-0.431525,0.759262,-0.654371,1
1,1.619619,0.417431,1.663038,-0.169858,0.140218,-0.402188,-0.744981,0.24853,0.24674,-0.244015,0.543356,0.091818,-0.249645,0.704137,0.525728,-0.373769,-0.433939,0.401692,-0.508405,0.429131,0.545785,0.809633,0.778675,0.445225,-0.185132,-0.913481,0.018009,-0.559117,0.33233,0.136765,-0.80272,-0.918461,0.982235,-0.466625,-1.011569,-0.11106,-0.004756,-1.273705,-0.055604,-0.076317,-0.275862,-0.758924,-0.856622,1.107801,0.466595,-0.2729,1.445278,-1.363772,1
4,-0.488516,-0.352215,-0.512912,-0.279764,-0.427581,-0.956514,0.239628,-0.443587,-0.740295,-0.80538,-0.050368,-0.748844,-0.449409,-0.764812,-1.171582,-1.367318,-1.064284,0.21664,-1.352142,-0.060407,0.048189,-0.329905,1.422095,0.782149,-0.415636,-1.371125,0.553853,0.340177,0.691043,1.896122,1.212465,-0.609263,-0.478787,2.42764,2.368815,-0.085082,1.438962,0.692974,1.197654,-2.190182,1.82309,2.869873,2.650411,0.654272,-0.969233,2.560897,-0.628757,1.344555,1
4,-0.494464,1.418403,-0.520751,-0.088322,0.366554,1.021865,1.403521,0.387123,0.767334,1.158526,-1.676113,1.143322,-1.100814,0.268433,0.621058,0.7536,0.253509,-0.723431,0.60587,-0.974052,-1.075223,-0.160914,-1.618782,-0.710787,-0.471037,-0.423379,-1.277024,0.260899,-1.304467,-0.946965,-1.233451,-0.328344,-0.475029,-0.95383,-0.821594,-0.512304,0.323128,-0.442936,0.286089,0.149396,-0.352368,-0.978565,-1.194833,-0.563744,-0.579341,-0.980121,-0.550193,-0.565879,1
4,-0.42537,-0.685488,-0.4565,-0.279794,-0.427994,-0.511933,1.337257,0.247401,-0.329654,-0.306535,-0.429993,0.143639,-0.563941,-0.801412,-0.482063,-1.494249,-0.02031,0.164295,-1.337084,0.649157,0.753743,2.180323,0.758191,3.348366,-0.552047,0.038538,2.23342,-0.677761,2.21217,6.277153,0.449747,-0.991162,-1.417216,0.227846,-0.028345,-0.051766,0.79792,-0.078185,0.679421,-0.455134,-0.357403,1.487388,1.568411,0.513868,-1.075882,3.504001,0.319511,-0.603339,1
4,-0.32779,-0.418006,-0.360263,-0.269192,-0.318842,0.814036,-0.072264,0.511602,0.759356,0.729948,0.274835,0.879911,0.614692,-0.401155,-0.084528,0.033569,0.832774,-0.669587,0.136117,-0.472428,-0.418778,-0.792385,-0.531907,-0.933499,-0.08059,0.214364,-0.591952,0.448979,-0.8728,-0.515753,-0.365398,1.159344,0.056761,-0.056741,-0.270303,0.147186,-0.296699,0.819158,-0.173639,1.565179,0.803748,-0.617637,-0.655769,-0.144744,-0.282468,-0.649176,-0.267397,0.034339,1
4,-0.190273,2.42158,-0.223101,-0.071413,0.407174,0.61741,2.320737,0.264055,0.449442,0.804203,-1.700952,0.632212,-0.05263,-0.417447,-0.16176,-0.017316,0.775715,-1.271202,0.162283,-0.754202,-0.772779,0.469602,-1.247724,0.141719,-0.527508,0.837105,0.732576,0.653725,-0.666936,-0.391869,0.23451,-0.130628,0.327454,0.258103,0.214987,-0.040303,0.017933,0.480027,-0.210344,-1.333797,0.728493,0.141318,0.273549,0.868111,-0.604685,0.057568,-0.56704,-0.461911,1
4,0.393913,-0.737565,0.343374,-0.284824,-0.51938,0.791744,0.324272,0.828305,0.817997,0.404523,1.500538,-1.598673,-0.58315,0.032925,0.289054,0.339,0.526448,-0.377177,0.23395,-1.015599,-1.135545,-0.453556,1.411112,-0.47266,0.319849,-2.186269,-0.988904,0.603049,0.275698,-0.251643,-1.194892,2.127727,1.011903,-0.229703,-0.722872,0.208102,0.88486,-0.361156,0.962456,0.161246,-0.887084,-0.563061,-0.581115,-0.484217,0.106238,-0.219237,1.144518,4.490242,1
4,-0.646112,-0.47085,-0.661737,-0.275191,-0.374162,0.361339,-0.602377,0.031749,0.194531,0.29115,0.148147,-1.590253,0.365613,0.003144,-0.10792,-0.418429,-1.132793,0.483161,-0.497389,-0.487066,-0.436385,-1.035764,1.297855,-0.999756,0.412051,0.747031,-0.256593,-0.396321,1.011054,-0.307066,-0.148552,1.12738,0.626536,1.120556,-0.012165,0.453746,-0.18205,-0.237528,-0.252763,0.127844,-0.451489,0.025482,0.14439,1.934958,1.690592,-0.233714,-0.653856,-0.231542,1
4,-0.428948,1.498005,-0.461197,-0.240155,-0.135631,-0.399787,0.83939,-0.183337,-0.370394,-0.394621,0.078414,0.173354,-0.742833,-0.89619,-0.62518,0.280073,0.166756,0.159859,0.181702,0.104425,0.221748,-0.542998,0.536249,0.562912,-0.519079,-0.215571,-0.28629,-0.45548,1.565898,1.350407,0.08528,-0.424479,1.660047,-0.704792,-0.184531,-0.595674,0.924549,0.063844,0.910366,-0.150118,-1.143996,0.318829,0.464637,1.812335,4.965175,0.694743,-0.801357,-1.888454,1
4,-0.429663,-0.494156,-0.458159,-0.277365,-0.397838,-1.630987,-0.229702,-1.69939,-1.713517,-1.664355,-0.08406,-0.186875,-0.018672,-0.654914,-0.675007,1.22256,1.073645,-1.246276,0.858307,-0.762798,-0.784127,-0.686404,-1.208259,-0.721559,-0.435861,-0.549939,-0.97464,0.323103,-0.615358,-0.612839,-0.60124,-0.030488,-0.763954,-0.907277,-0.669487,-0.356768,-0.843439,-0.171657,-0.83236,0.384729,-0.033766,-0.824521,-0.954012,-0.242196,-0.000162,-0.507975,2.062872,-0.642289,1
4,-0.452292,1.258815,-0.461913,0.345019,1.129615,0.421698,-0.749093,0.109655,0.151497,0.607825,-0.627902,1.344403,-0.679575,-0.825394,-0.162565,0.285265,1.616688,0.73014,0.586846,-0.758077,-0.77789,-0.824155,-0.84504,-1.305697,0.409606,-0.773933,-1.751693,1.38783,-1.971559,-1.286298,-1.315314,0.677692,-0.589303,-0.826888,-1.414219,0.381352,-0.77062,-1.890888,-0.925221,-1.060162,-0.508912,-0.887401,-1.050136,-0.222553,-0.314282,-1.153978,-0.502229,-0.072987,1
3,1.67552,2.613488,1.971496,4.422225,4.131675,-1.916666,-0.437765,-0.228218,-1.63119,-1.872872,1.262711,0.080169,2.46682,0.706328,0.130138,-0.028793,-0.421257,1.186687,0.110779,1.804373,1.730533,0.165723,0.826126,1.263435,-0.509895,1.616922,1.577895,0.564253,0.416226,1.504638,1.871716,-1.008661,0.46356,2.849485,3.780944,-0.280048,-2.066627,0.925344,-1.985456,0.260085,-0.796455,5.069023,4.087631,1.716346,-0.243048,3.129857,-0.391432,-1.432274,1
4,-1.315939,0.373027,-1.287226,0.240253,0.979193,-0.212649,0.813997,-0.153135,-0.143207,-0.054975,-0.77084,-0.467607,-0.020631,-1.061204,-1.312446,-0.677971,-0.141636,0.258976,-0.651937,0.306964,0.426434,2.046848,1.49543,1.768282,-0.430325,-0.172041,1.167358,-1.116941,2.001119,2.378144,1.003011,-0.412337,0.687632,0.231003,1.636108,-0.655479,1.481797,2.572635,1.686545,0.951961,1.340351,1.469824,1.553371,-1.127573,-0.593689,1.028413,1.887006,1.29349,1
4,-0.363924,2.286448,-0.391394,-0.189287,0.075261,0.273772,-0.764409,0.201392,0.322286,0.374997,-0.434338,0.594824,0.633539,1.380182,1.35885,0.344895,-0.27305,1.07008,0.396059,0.224955,0.344624,-0.174732,-0.091012,0.157405,-0.404179,-0.614659,-0.24152,-0.002027,-0.391092,-0.420852,-0.688072,-0.520668,0.057321,0.542912,1.02157,-0.352544,-0.221939,-0.518135,-0.181219,0.55175,-0.338113,-0.107795,-0.009059,-0.800085,-0.191128,0.030505,2.200316,-1.334673,1
4,-0.493972,-0.384151,-0.506085,-0.260293,-0.252417,1.117549,-0.717089,0.886734,0.911944,1.044804,-0.249318,0.315055,-0.650226,0.426125,0.17437,1.562754,0.120753,-0.124547,1.666993,-0.805624,-0.841202,-0.748918,1.079818,-0.925308,2.186034,0.772689,0.101143,-2.517537,0.106371,-0.80119,0.69453,-1.251995,-0.210333,-0.345707,-0.480078,0.159804,0.305057,0.088633,0.231713,-0.382992,0.010972,-0.535448,-0.543912,-1.387554,-0.759176,-0.536702,1.498915,-1.22015,1
