"timesignature","beatdifMedian","beatdifrange","beatdif80perc","beatdifvariance","beatdifstdev","T1Median","T1min","T1max","T180perc","T1mean","T1stdev","T2min","T2max","T280perc","T2mean","T3Median","T3min","T3range","T3mean","T3variance","T3stdev","T4Median","T4range","T480perc","T4kurtosis","T580perc","T5stdev","T6min","T6range","T6variance","T7variance","T7kurtosis","T8Median","T8range","T8stdev","T8kurtosis","T9Median","T9max","T9mean","T9skewness","T9kurtosis","T10variance","T10stdev","T10skewness","T10kurtosis","T11variance","T12Median","T12kurtosis","Topclass1030"
4,-0.554881,-0.43642,-0.575662,-0.269013,-0.317352,0.933841,1.331211,0.626485,0.885764,0.699035,0.400282,0.992834,-0.026771,0.581736,0.704648,0.602134,-1.662209,0.774324,0.204088,0.692839,0.794034,-0.389557,0.485278,0.249604,-0.29461,-0.852068,0.128764,-0.460183,2.473506,1.539203,-0.294017,-0.83382,-0.01657,0.232781,0.34835,-0.087983,-1.108878,-0.202899,-1.124282,0.715006,0.366271,1.264345,1.374436,-1.451299,1.836946,1.407428,0.020212,0.494034,1
4,-0.638062,1.628725,1.091639,4.202499,4.019841,0.084119,-0.767956,0.801207,0.449093,0.14324,0.472426,-1.219971,-0.529933,-0.641741,-1.016129,-0.730047,-1.491716,0.788641,-1.019967,0.66117,0.764855,-0.014965,0.222375,0.354574,-0.474058,-0.781013,-0.239182,-0.121405,1.881907,1.066154,-0.913832,0.085834,-1.049362,0.726812,0.532966,-0.182476,0.198507,0.002892,0.265535,0.702243,-0.154637,0.665192,0.816852,0.382316,-0.347372,0.139045,0.059838,0.11635,1
4,0.058687,-0.773146,0.018539,-0.284358,-0.507233,-0.094102,-0.767069,-0.281566,-0.165397,-0.0697,-0.288645,0.519327,-0.148084,-0.220925,-0.113326,2.104383,-0.051367,0.931973,1.789508,1.028996,1.094185,1.487186,0.712483,1.129744,-0.188062,-0.340068,1.514276,0.605033,0.044891,0.218171,1.500753,-0.845127,2.370246,-0.481453,0.220873,-0.484357,-1.445596,-0.110322,-1.432451,-0.500213,0.573011,0.537731,0.690148,1.151069,-0.596319,0.755711,-0.182129,-0.699122,1
4,-0.492138,-0.521681,-0.520559,-0.28186,-0.458451,0.260739,-0.767956,0.158205,0.209042,0.23854,0.185664,-0.168833,-0.970711,-0.654547,-0.700322,0.263287,-0.428971,-0.229899,0.17474,-0.092158,0.013969,0.791328,-0.494684,0.811294,-0.453766,0.222408,0.076857,-0.678631,0.617254,1.584474,0.042513,-0.522259,0.471557,-0.205092,0.37932,-0.481788,-0.235057,-0.412205,-0.195555,0.391996,-0.527729,0.81377,0.96067,-0.033066,-0.946714,1.783654,1.038792,-1.273087,1
4,1.5122,-0.558509,1.434195,-0.27842,-0.410357,1.003117,-0.313862,0.54124,0.901971,1.043455,-0.490074,-0.171416,-0.915519,0.847889,1.059748,0.733457,1.148682,-1.346183,0.734078,-1.025197,-1.149642,-0.324957,-1.192268,-0.727849,-0.373745,-0.473427,-0.847196,0.523064,-1.327971,-0.556031,-0.266499,-0.651308,1.315703,0.056796,-0.366761,0.037825,0.334372,-0.642722,0.39382,0.428639,-0.106095,-0.383386,-0.345365,0.453377,-1.012074,-0.614838,0.393433,-0.68365,1
4,-0.429574,-0.646838,-0.44812,-0.279474,-0.423727,-0.668662,-0.767956,-1.039451,-0.774254,-0.640091,-0.102836,-1.110846,-0.905215,-0.219539,-0.119119,1.28139,0.502974,1.468946,1.079472,-0.323937,-0.244402,0.590249,-0.257963,0.659646,-0.469613,-0.476564,-0.606275,-0.696765,1.004754,0.806946,-0.468854,-0.663646,0.786472,-0.580695,-0.234093,-0.590305,0.682267,0.231237,0.788045,0.856795,-0.476917,-0.619276,-0.658036,0.133862,-0.333342,0.678206,0.726599,-0.068171,1
4,-0.502022,0.242211,-0.518883,-0.252477,-0.203041,0.833356,1.650197,1.12412,0.979661,0.886233,-0.529564,1.09302,-0.547809,0.521387,0.639061,0.264809,-0.487063,-0.459277,0.114775,-0.243937,-0.153438,-1.36901,1.34389,-1.137439,1.574678,0.025659,-0.414645,-0.830063,0.608973,-0.558742,0.113214,0.177013,-0.731327,-0.386169,-1.038092,0.105948,-0.04585,0.528137,0.148868,0.347923,0.27911,-0.726928,-0.810114,-0.395086,-0.520007,-0.766643,-0.461744,-0.897859,1
4,-0.52626,-0.46922,-0.556526,-0.266028,-0.293591,1.422434,1.782322,0.942905,1.253023,1.497792,-1.209658,0.990543,1.089921,0.8009,0.974034,0.633598,0.629773,-0.935572,0.933426,-0.480805,-0.428845,-0.206713,1.386672,-0.729424,2.927303,0.172373,-0.077407,1.269404,1.429831,-0.829048,-0.161384,1.546493,0.384871,1.539932,-0.003749,0.901076,0.95373,-0.112878,0.957645,-0.553736,-0.752839,-0.235954,-0.162023,0.021446,-0.872316,-0.549593,-1.156871,0.370417,1
4,0.537735,-0.47133,0.486141,-0.281649,-0.455056,0.223129,-0.767231,0.398413,0.447298,0.100501,0.946574,-0.234556,-0.332342,1.502351,0.979487,0.368318,-0.40475,-0.257255,0.063061,-0.527397,-0.485309,0.35408,1.231655,0.423393,0.20411,-0.588317,0.866351,0.251656,0.675156,-0.555308,1.210709,-0.370602,0.960644,0.06351,-0.247431,-0.02384,1.142937,-0.247112,0.879042,-0.872444,-0.88825,0.509015,0.661153,-0.280961,-0.872965,-0.379716,0.111927,-0.936026,1
4,-0.456764,2.17491,0.093668,5.227026,4.520501,-0.185328,-0.767956,-0.14382,-0.100822,-0.216135,0.183216,0.652204,-0.11783,0.122457,0.044206,2.3779,2.042713,-0.888783,2.522824,-0.515423,-0.47072,0.43027,-0.169602,-0.202727,-0.107372,1.358077,0.516357,0.858525,-1.316158,-0.974955,0.926082,-1.508012,-0.302297,-0.595613,-0.472289,-0.010023,0.417899,0.431406,0.554032,0.543669,-0.428574,-0.746464,-0.838436,-1.506183,0.354474,-0.792752,-1.350444,0.242809,1
